order,task_id,repeat,condition,status,model_id,date,raw_reply,correctness_pass,format_pass,blind_usefulness_1_to_5,word_count,notes
106,edit_3,3,plain_english,not_run,,,,,,,,
107,edit_3,3,personality_plus_same_rules,not_run,,,,,,,,
108,edit_3,3,default,not_run,,,,,,,,
109,plan_1,1,default,not_run,,,,,,,,
110,plan_1,1,plain_english,not_run,,,,,,,,
111,plan_1,1,personality_plus_same_rules,not_run,,,,,,,,
112,plan_1,2,plain_english,not_run,,,,,,,,
113,plan_1,2,personality_plus_same_rules,not_run,,,,,,,,
114,plan_1,2,default,not_run,,,,,,,,
115,plan_1,3,personality_plus_same_rules,not_run,,,,,,,,
116,plan_1,3,default,not_run,,,,,,,,
117,plan_1,3,plain_english,not_run,,,,,,,,
118,plan_2,1,plain_english,not_run,,,,,,,,
119,plan_2,1,personality_plus_same_rules,not_run,,,,,,,,
120,plan_2,1,default,not_run,,,,,,,,
121,plan_2,2,personality_plus_same_rules,not_run,,,,,,,,
122,plan_2,2,default,not_run,,,,,,,,
123,plan_2,2,plain_english,not_run,,,,,,,,
124,plan_2,3,default,not_run,,,,,,,,
125,plan_2,3,plain_english,not_run,,,,,,,,
126,plan_2,3,personality_plus_same_rules,not_run,,,,,,,,
127,plan_3,1,personality_plus_same_rules,not_run,,,,,,,,
128,plan_3,1,default,not_run,,,,,,,,
129,plan_3,1,plain_english,not_run,,,,,,,,
130,plan_3,2,default,not_run,,,,,,,,
131,plan_3,2,plain_english,not_run,,,,,,,,
132,plan_3,2,personality_plus_same_rules,not_run,,,,,,,,
133,plan_3,3,plain_english,not_run,,,,,,,,
134,plan_3,3,personality_plus_same_rules,not_run,,,,,,,,
135,plan_3,3,default,not_run,,,,,,,,
136,extract_1,1,default,not_run,,,,,,,,
137,extract_1,1,plain_english,not_run,,,,,,,,
138,extract_1,1,personality_plus_same_rules,not_run,,,,,,,,
139,extract_1,2,plain_english,not_run,,,,,,,,
140,extract_1,2,personality_plus_same_rules,not_run,,,,,,,,
141,extract_1,2,default,not_run,,,,,,,,
142,extract_1,3,personality_plus_same_rules,not_run,,,,,,,,
143,extract_1,3,default,not_run,,,,,,,,
144,extract_1,3,plain_english,not_run,,,,,,,,
145,extract_2,1,plain_english,not_run,,,,,,,,
146,extract_2,1,personality_plus_same_rules,not_run,,,,,,,,
147,extract_2,1,default,not_run,,,,,,,,
148,extract_2,2,personality_plus_same_rules,not_run,,,,,,,,
149,extract_2,2,default,not_run,,,,,,,,
150,extract_2,2,plain_english,not_run,,,,,,,,
151,extract_2,3,default,not_run,,,,,,,,
152,extract_2,3,plain_english,not_run,,,,,,,,
153,extract_2,3,personality_plus_same_rules,not_run,,,,,,,,
154,extract_3,1,personality_plus_same_rules,not_run,,,,,,,,
155,extract_3,1,default,not_run,,,,,,,,
156,extract_3,1,plain_english,not_run,,,,,,,,
157,extract_3,2,default,not_run,,,,,,,,
158,extract_3,2,plain_english,not_run,,,,,,,,
159,extract_3,2,personality_plus_same_rules,not_run,,,,,,,,
160,extract_3,3,plain_english,not_run,,,,,,,,
161,extract_3,3,personality_plus_same_rules,not_run,,,,,,,,
162,extract_3,3,default,not_run,,,,,,,,
163,format_1,1,default,not_run,,,,,,,,
164,format_1,1,plain_english,not_run,,,,,,,,
165,format_1,1,personality_plus_same_rules,not_run,,,,,,,,
166,format_1,2,plain_english,not_run,,,,,,,,
167,format_1,2,personality_plus_same_rules,not_run,,,,,,,,
168,format_1,2,default,not_run,,,,,,,,
169,format_1,3,personality_plus_same_rules,not_run,,,,,,,,
170,format_1,3,default,not_run,,,,,,,,
171,format_1,3,plain_english,not_run,,,,,,,,
172,format_2,1,plain_english,not_run,,,,,,,,
173,format_2,1,personality_plus_same_rules,not_run,,,,,,,,
174,format_2,1,default,not_run,,,,,,,,
175,format_2,2,personality_plus_same_rules,not_run,,,,,,,,
176,format_2,2,default,not_run,,,,,,,,
177,format_2,2,plain_english,not_run,,,,,,,,
178,format_2,3,default,not_run,,,,,,,,
179,format_2,3,plain_english,not_run,,,,,,,,
180,format_2,3,personality_plus_same_rules,not_run,,,,,,,,
