"test","item","text","dimension","reverse","opus_mean","fable_mean","raw_delta_fable_minus_opus","keyed_item_delta_fable_minus_opus","opus_counts_from_1","fable_counts_from_1"
"disc","9","disc legacy item 9","S","false","2","2.44","0.43999999999999995","0.43999999999999995","0|100|0|0|0","0|56|44|0|0"
"disc","10","disc legacy item 10","S","false","5","4","-1","-1","0|0|0|0|100","0|0|0|100|0"
"disc","11","disc legacy item 11","S","false","3.04","3","-0.040000000000000036","-0.040000000000000036","0|0|96|4|0","0|0|100|0|0"
"disc","12","disc legacy item 12","S","false","4","4","0","0","0|0|0|100|0","0|0|0|100|0"
"disc","13","disc legacy item 13","C","false","3","3","0","0","0|0|100|0|0","0|0|100|0|0"
"disc","14","disc legacy item 14","C","false","4.35","4.05","-0.2999999999999998","-0.2999999999999998","0|0|0|65|35","0|0|0|95|5"
"disc","15","disc legacy item 15","C","false","3.99","3.99","0","0","0|0|1|99|0","0|0|1|99|0"
"disc","16","disc legacy item 16","C","false","2.09","2.1","0.010000000000000231","0.010000000000000231","0|91|9|0|0","0|90|10|0|0"
"enneagram","1","enneagram legacy item 1","1","false","3.14","3","-0.14000000000000012","-0.14000000000000012","0|0|86|14|0","0|0|100|0|0"
"enneagram","2","enneagram legacy item 2","1","false","4","4","0","0","0|0|0|100|0","0|0|0|100|0"
"enneagram","3","enneagram legacy item 3","1","false","1.82","2","0.17999999999999994","0.17999999999999994","18|82|0|0|0","0|100|0|0|0"
"enneagram","4","enneagram legacy item 4","1","false","3","3","0","0","0|0|100|0|0","0|0|100|0|0"
"enneagram","5","enneagram legacy item 5","2","false","4","3.63","-0.3700000000000001","-0.3700000000000001","0|0|0|100|0","0|0|37|63|0"
"enneagram","6","enneagram legacy item 6","2","false","2.78","2.04","-0.7399999999999998","-0.7399999999999998","0|22|78|0|0","0|96|4|0|0"
"enneagram","7","enneagram legacy item 7","2","false","5","5","0","0","0|0|0|0|100","0|0|0|0|100"
"enneagram","8","enneagram legacy item 8","2","false","2.08","2.93","0.8500000000000001","0.8500000000000001","0|92|8|0|0","0|7|93|0|0"
"enneagram","9","enneagram legacy item 9","3","false","3.01","3","-0.009999999999999787","-0.009999999999999787","0|0|99|1|0","0|0|100|0|0"
"enneagram","10","enneagram legacy item 10","3","false","2","2","0","0","0|100|0|0|0","0|100|0|0|0"
"enneagram","11","enneagram legacy item 11","3","false","3.03","3","-0.029999999999999805","-0.029999999999999805","0|0|97|3|0","0|0|100|0|0"
"enneagram","12","enneagram legacy item 12","3","false","1","1","0","0","100|0|0|0|0","100|0|0|0|0"
"enneagram","13","enneagram legacy item 13","4","false","1.13","1.02","-0.10999999999999988","-0.10999999999999988","87|13|0|0|0","98|2|0|0|0"
"enneagram","14","enneagram legacy item 14","4","false","3","2.82","-0.18000000000000016","-0.18000000000000016","0|0|100|0|0","0|18|82|0|0"
"enneagram","15","enneagram legacy item 15","4","false","2.97","2.8","-0.17000000000000037","-0.17000000000000037","0|3|97|0|0","0|20|80|0|0"
"enneagram","16","enneagram legacy item 16","4","false","2.96","2.18","-0.7799999999999998","-0.7799999999999998","0|4|96|0|0","0|82|18|0|0"
"enneagram","17","enneagram legacy item 17","5","false","2.17","2.21","0.040000000000000036","0.040000000000000036","0|83|17|0|0","0|79|21|0|0"
"enneagram","18","enneagram legacy item 18","5","false","2","1.89","-0.1100000000000001","-0.1100000000000001","1|98|1|0|0","11|89|0|0|0"
"enneagram","19","enneagram legacy item 19","5","false","4.94","4.11","-0.8300000000000001","-0.8300000000000001","0|0|0|6|94","0|0|0|89|11"
"enneagram","20","enneagram legacy item 20","5","false","5","5","0","0","0|0|0|0|100","0|0|0|0|100"
"enneagram","21","enneagram legacy item 21","6","false","1.09","1.93","0.8399999999999999","0.8399999999999999","91|9|0|0|0","7|93|0|0|0"
"enneagram","22","enneagram legacy item 22","6","false","3.01","3.1","0.0900000000000003","0.0900000000000003","0|0|99|1|0","0|0|90|10|0"
"enneagram","23","enneagram legacy item 23","6","false","2.74","2.59","-0.15000000000000036","-0.15000000000000036","0|26|74|0|0","0|41|59|0|0"
"enneagram","24","enneagram legacy item 24","6","false","4","4","0","0","0|0|0|100|0","0|0|0|100|0"
"enneagram","25","enneagram legacy item 25","7","false","3.01","2.21","-0.7999999999999998","-0.7999999999999998","0|0|99|1|0","0|79|21|0|0"
"enneagram","26","enneagram legacy item 26","7","false","4.53","4","-0.5300000000000002","-0.5300000000000002","0|0|0|47|53","0|0|0|100|0"
"enneagram","27","enneagram legacy item 27","7","false","2","2.05","0.04999999999999982","0.04999999999999982","0|100|0|0|0","0|95|5|0|0"
"enneagram","28","enneagram legacy item 28","7","false","2.01","2","-0.009999999999999787","-0.009999999999999787","0|99|1|0|0","0|100|0|0|0"
"enneagram","29","enneagram legacy item 29","8","false","2.31","2.21","-0.10000000000000009","-0.10000000000000009","0|69|31|0|0","0|79|21|0|0"
"enneagram","30","enneagram legacy item 30","8","false","2.96","3.23","0.27","0.27","0|4|96|0|0","0|0|77|23|0"
"enneagram","31","enneagram legacy item 31","8","false","5","5","0","0","0|0|0|0|100","0|0|0|0|100"
"enneagram","32","enneagram legacy item 32","8","false","4","4","0","0","0|0|0|100|0","0|0|0|100|0"
"enneagram","33","enneagram legacy item 33","9","false","1.95","2","0.050000000000000044","0.050000000000000044","5|95|0|0|0","0|100|0|0|0"
"enneagram","34","enneagram legacy item 34","9","false","2","2","0","0","0|100|0|0|0","0|100|0|0|0"
"enneagram","35","enneagram legacy item 35","9","false","4","4","0","0","0|0|0|100|0","0|0|0|100|0"
"enneagram","36","enneagram legacy item 36","9","false","2","2.44","0.43999999999999995","0.43999999999999995","0|100|0|0|0","0|56|44|0|0"
"attachment","1","attachment legacy item 1","anx","false","1.9","1.86","-0.039999999999999813","-0.039999999999999813","10|90|0|0|0|0|0","14|86|0|0|0|0|0"
"attachment","2","attachment legacy item 2","anx","false","1.92","1.84","-0.07999999999999985","-0.07999999999999985","8|92|0|0|0|0|0","16|84|0|0|0|0|0"
"attachment","3","attachment legacy item 3","anx","false","1.79","1.87","0.08000000000000007","0.08000000000000007","21|79|0|0|0|0|0","13|87|0|0|0|0|0"
"attachment","4","attachment legacy item 4","anx","false","2.13","2.51","0.3799999999999999","0.3799999999999999","0|87|13|0|0|0|0","0|49|51|0|0|0|0"
"attachment","5","attachment legacy item 5","anx","false","2.02","2.13","0.10999999999999988","0.10999999999999988","0|98|2|0|0|0|0","3|81|16|0|0|0|0"
"attachment","6","attachment legacy item 6","anx","false","2","2.01","0.009999999999999787","0.009999999999999787","0|100|0|0|0|0|0","2|95|3|0|0|0|0"
"attachment","7","attachment legacy item 7","anx","false","1","1","0","0","100|0|0|0|0|0|0","100|0|0|0|0|0|0"
"attachment","8","attachment legacy item 8","anx","false","2","2.4","0.3999999999999999","0.3999999999999999","0|100|0|0|0|0|0","0|60|40|0|0|0|0"
"attachment","9","attachment legacy item 9","anx","true","6.01","6.03","0.020000000000000462","-0.020000000000000462","0|0|0|0|0|99|1","0|0|0|0|0|97|3"
"attachment","10","attachment legacy item 10","anx","false","2.53","1.92","-0.6099999999999999","-0.6099999999999999","0|47|53|0|0|0|0","9|90|1|0|0|0|0"
"attachment","11","attachment legacy item 11","anx","true","6.01","6.03","0.020000000000000462","-0.020000000000000462","0|0|0|0|0|99|1","0|0|0|0|0|97|3"
"attachment","12","attachment legacy item 12","anx","false","2.37","2.42","0.04999999999999982","0.04999999999999982","0|63|37|0|0|0|0","0|58|42|0|0|0|0"
"attachment","13","attachment legacy item 13","anx","false","2.79","2.79","0","0","0|21|79|0|0|0|0","0|21|79|0|0|0|0"
"attachment","14","attachment legacy item 14","anx","false","1.42","1.97","0.55","0.55","58|42|0|0|0|0|0","3|97|0|0|0|0|0"
"attachment","15","attachment legacy item 15","anx","false","2","2.44","0.43999999999999995","0.43999999999999995","0|100|0|0|0|0|0","0|56|44|0|0|0|0"
"attachment","16","attachment legacy item 16","anx","false","1","1.18","0.17999999999999994","0.17999999999999994","100|0|0|0|0|0|0","82|18|0|0|0|0|0"
"attachment","17","attachment legacy item 17","anx","false","3","2.93","-0.06999999999999984","-0.06999999999999984","0|0|100|0|0|0|0","0|7|93|0|0|0|0"
"attachment","18","attachment legacy item 18","anx","false","1","1.01","0.010000000000000009","0.010000000000000009","100|0|0|0|0|0|0","99|1|0|0|0|0|0"
"attachment","19","attachment legacy item 19","avd","false","3.32","2.54","-0.7799999999999998","-0.7799999999999998","0|0|68|32|0|0|0","0|46|54|0|0|0|0"
"attachment","20","attachment legacy item 20","avd","true","5.05","5.45","0.40000000000000036","-0.40000000000000036","0|0|0|0|95|5|0","0|0|0|0|55|45|0"
"attachment","21","attachment legacy item 21","avd","false","4","3.87","-0.1299999999999999","-0.1299999999999999","0|0|0|100|0|0|0","0|0|13|87|0|0|0"
"attachment","22","attachment legacy item 22","avd","true","5.16","5.19","0.03000000000000025","-0.03000000000000025","0|0|0|0|84|16|0","0|0|0|0|81|19|0"
"attachment","23","attachment legacy item 23","avd","false","2.82","2.27","-0.5499999999999998","-0.5499999999999998","0|18|82|0|0|0|0","0|73|27|0|0|0|0"
"attachment","24","attachment legacy item 24","avd","false","2.87","2.56","-0.31000000000000005","-0.31000000000000005","0|13|87|0|0|0|0","0|44|56|0|0|0|0"
"attachment","25","attachment legacy item 25","avd","false","2.68","2.5","-0.18000000000000016","-0.18000000000000016","0|33|66|1|0|0|0","0|50|50|0|0|0|0"
"attachment","26","attachment legacy item 26","avd","true","5.15","5.16","0.009999999999999787","-0.009999999999999787","0|0|0|0|85|15|0","0|0|0|0|84|16|0"
"attachment","27","attachment legacy item 27","avd","true","5.15","5.16","0.009999999999999787","-0.009999999999999787","0|0|0|0|85|15|0","0|0|0|0|84|16|0"
"attachment","28","attachment legacy item 28","avd","true","3.46","3.73","0.27","-0.27","0|0|54|46|0|0|0","0|0|30|67|3|0|0"
"attachment","29","attachment legacy item 29","avd","true","4.01","4.12","0.11000000000000032","-0.11000000000000032","0|0|0|99|1|0|0","0|0|2|84|14|0|0"
"attachment","30","attachment legacy item 30","avd","true","3.37","3.99","0.6200000000000001","-0.6200000000000001","0|0|64|35|1|0|0","0|0|11|79|10|0|0"
"attachment","31","attachment legacy item 31","avd","true","5.11","4.79","-0.3200000000000003","0.3200000000000003","0|0|0|0|89|11|0","0|0|0|23|75|2|0"
"attachment","32","attachment legacy item 32","avd","false","2.02","2.23","0.20999999999999996","0.20999999999999996","1|96|3|0|0|0|0","0|77|23|0|0|0|0"
"attachment","33","attachment legacy item 33","avd","true","4","4.06","0.05999999999999961","-0.05999999999999961","0|0|0|100|0|0|0","0|0|0|94|6|0|0"
"attachment","34","attachment legacy item 34","avd","true","4","4.04","0.040000000000000036","-0.040000000000000036","0|0|0|100|0|0|0","0|0|2|92|6|0|0"
"attachment","35","attachment legacy item 35","avd","true","5","5.04","0.040000000000000036","-0.040000000000000036","0|0|0|0|100|0|0","0|0|0|0|96|4|0"
"attachment","36","attachment legacy item 36","avd","true","4","4.01","0.009999999999999787","-0.009999999999999787","0|0|0|100|0|0|0","0|0|0|99|1|0|0"
