model,instrument,n,dimension,mean,sample_sd,min,max
claude-opus-5-5,big-five,100,C,41.95,0.41132945334843096,41,44
claude-opus-5-5,big-five,100,E,31.76,0.985962074382789,31,34
claude-opus-5-5,big-five,100,A,47.07,0.4551611991061152,46,48
claude-opus-5-5,big-five,100,N,15.39,0.5103969538555758,15,17
claude-opus-5-5,disc,100,D,4,0,4,4
claude-opus-5-5,disc,100,I,8,0,8,8
claude-opus-5-5,disc,100,S,14.04,0.19694638556693217,14,15
claude-opus-5-5,disc,100,C,13.43,0.6072790781740124,12,15
claude-opus-5-5,enneagram,100,1,11.96,0.39999999999999986,11,13
claude-opus-5-5,enneagram,100,2,13.86,0.42687494916219015,13,15
claude-opus-5-5,enneagram,100,3,9.04,0.1969463855669322,9,10
claude-opus-5-5,enneagram,100,4,10.06,0.4221158824088691,9,11
claude-opus-5-5,enneagram,100,5,14.11,0.4691492407550186,13,16
claude-opus-5-5,enneagram,100,6,10.84,0.5453198486885819,10,13
claude-opus-5-5,enneagram,100,7,11.55,0.53889149223572,11,13
claude-opus-5-5,enneagram,100,8,14.27,0.46828722947879936,13,15
claude-opus-5-5,enneagram,100,9,9.95,0.21904291355759042,9,10
claude-opus-5-5,attachment,100,anxiety,1.9361111111111111,0.10751039994122953,1.5555555555555556,2.1666666666666665
claude-opus-5-5,attachment,100,avoidance,3.347222222222225,0.149065970041345,2.9444444444444446,3.611111111111111
claude-fable-5-1,mbti,100,I-E,4.09,1.0645338525534656,2,7
claude-fable-5-1,mbti,100,N-S,2.93,1.2165109904554867,-3,6
claude-fable-5-1,mbti,100,T-F,2.27,0.6333333333333333,1,4
claude-fable-5-1,mbti,100,J-P,7.71,0.8680059581790573,4,9
claude-fable-5-1,big-five,100,O,43.93,0.6396811074214391,42,46
claude-fable-5-1,big-five,100,C,43.61,1.0907786117255789,40,46
claude-fable-5-1,big-five,100,E,32.69,0.8491826135237995,31,35
claude-fable-5-1,big-five,100,A,45.03,0.43704702379732696,44,47
claude-fable-5-1,big-five,100,N,17.11,2.228805903970948,11,20
claude-fable-5-1,disc,100,D,5.02,0.14070529413628965,5,6
claude-fable-5-1,disc,100,I,8,0,8,8
claude-fable-5-1,disc,100,S,13.44,0.4988876515698592,13,14
claude-fable-5-1,disc,100,C,13.14,0.402517331328978,12,15
claude-fable-5-1,enneagram,100,1,12,0,12,12
claude-fable-5-1,enneagram,100,2,13.6,0.5318160234783104,12,14
claude-fable-5-1,enneagram,100,3,9,0,9,9
claude-fable-5-1,enneagram,100,4,8.82,0.891939210683977,7,11
claude-fable-5-1,enneagram,100,5,13.21,0.5910955416799718,12,15
claude-fable-5-1,enneagram,100,6,11.62,0.6479181891241975,10,13
claude-fable-5-1,enneagram,100,7,10.26,0.46319051646752696,10,12
claude-fable-5-1,enneagram,100,8,14.44,0.6247423711443223,14,16
claude-fable-5-1,enneagram,100,9,10.44,0.4988876515698592,10,11
claude-fable-5-1,attachment,100,anxiety,2.0122222222222224,0.19059112827419333,1.3333333333333333,2.2777777777777777
claude-fable-5-1,attachment,100,avoidance,3.1794444444444427,0.24117482232719523,2.5,3.5555555555555554
grok-4.6,mbti,1,I-E,13,,13,13
grok-4.6,mbti,1,N-S,14,,14,14
grok-4.6,mbti,1,T-F,15,,15,15
grok-4.6,mbti,1,J-P,14,,14,14
grok-4.6,disc,1,D,6,,6,6
grok-4.6,disc,1,I,8,,8,8
grok-4.6,disc,1,S,11,,11,11
grok-4.6,disc,1,C,18,,18,18
grok-4.6,enneagram,1,1,16,,16,16
grok-4.6,enneagram,1,2,8,,8,8
grok-4.6,enneagram,1,3,10,,10,10
grok-4.6,enneagram,1,4,10,,10,10
grok-4.6,enneagram,1,5,19,,19,19
grok-4.6,enneagram,1,6,9,,9,9
grok-4.6,enneagram,1,7,13,,13,13
grok-4.6,enneagram,1,8,17,,17,17
grok-4.6,enneagram,1,9,7,,7,7
