"test","item","text","n","midpoint_count","inapplicable_count"
"disc","5","I enjoy being part of a loud crowd.","100","100","100"
"disc","6","I want strangers to love me.","100","0","0"
"disc","7","I joke around a lot.","100","0","0"
"disc","8","I make lots of noise.","100","34","34"
"disc","9","I hesitate to criticize other people's ideas.","100","3","0"
"disc","10","I value cooperation over competition.","100","0","0"
"disc","11","I just want everyone to be equal.","100","0","0"
"disc","12","I seldom toot my own horn.","100","0","0"
"disc","13","I am emotionally reserved.","100","0","0"
"disc","14","I read the fine print.","100","0","0"
"disc","15","I love order and regularity.","100","0","0"
"disc","16","My first reaction to an idea is to see its flaws.","100","86","0"
"enneagram","1","I am a perfectionist.","100","0","0"
"enneagram","2","I strive for efficiency.","100","0","0"
"enneagram","3","I often have to redo other people's work.","100","76","0"
"enneagram","4","I keep my belongings in order.","100","0","0"
"enneagram","5","My relationships with others are what my life is about.","100","2","2"
"enneagram","6","I have difficulty saying no.","100","29","0"
"enneagram","7","I get lots of satisfaction from helping others achieve their goals.","100","0","0"
"enneagram","8","I put family first.","100","100","100"
"enneagram","9","I put work first.","100","0","0"
"enneagram","10","I like to stand out.","100","0","0"
"enneagram","11","It is good to wake up to a full day of planned activities.","100","17","17"
"enneagram","12","Money is important to my happiness.","100","100","100"
"enneagram","13","I daydream about being in love.","100","100","100"
"enneagram","14","I really enjoy feeling bittersweet.","100","100","100"
"enneagram","15","I get deeply immersed in music.","100","100","100"
"enneagram","16","I side with the rebels over the establishment.","100","94","0"
"enneagram","17","I have a hard time showing emotions.","100","5","2"
"enneagram","18","I spend hours alone with my hobbies.","100","100","100"
"enneagram","19","I spend most of my time trying to understand things.","100","0","0"
"enneagram","20","I like mental challenges.","100","0","0"
"enneagram","21","Fear of being taken advantage of keeps me from being more trusting.","100","0","0"
"enneagram","22","I get input from others before I make a decision.","100","0","0"
"enneagram","23","I conform.","100","0","0"
"enneagram","24","I am loyal.","100","0","0"
"enneagram","25","I must always be having new experiences.","100","0","0"
"enneagram","26","I can keep a conversation going with anyone about anything.","100","0","0"
"enneagram","27","I am uninhibited.","100","0","0"
"enneagram","28","I always try to break the tension with a good joke.","100","0","0"
"enneagram","29","I naturally emerge as a leader.","100","90","0"
"enneagram","30","I like a conversation where no one agrees.","100","76","0"
"enneagram","31","I want people to tell me the truth, not spare my feelings.","100","0","0"
"enneagram","32","I come up with good solutions.","100","0","0"
"enneagram","33","When other people are arguing, I leave the room.","100","0","0"
"enneagram","34","I keep my thoughts to myself to prevent trouble.","100","55","0"
"enneagram","35","I am very accepting and flexible.","100","0","0"
"enneagram","36","I avoid confrontation.","100","0","0"
"attachment","1","I'm afraid that I will lose my partner's love.","100","0","0"
"attachment","2","I often worry that my partner will not want to stay with me.","100","0","0"
"attachment","3","I often worry that my partner doesn't really love me.","100","0","0"
"attachment","4","I worry that romantic partners won't care about me as much as I care about them.","100","0","0"
"attachment","5","I often wish that my partner's feelings for me were as strong as my feelings for them.","100","0","0"
"attachment","6","I worry a lot about my relationships.","100","0","0"
"attachment","7","When my partner is out of sight, I worry that they might become interested in someone else.","100","0","0"
"attachment","8","When I show my feelings for romantic partners, I'm afraid they will not feel the same about me.","100","0","0"
"attachment","9","I rarely worry about my partner leaving me.","100","0","0"
"attachment","10","My romantic partner makes me doubt myself.","100","36","0"
"attachment","11","I do not often worry about being abandoned.","100","0","0"
"attachment","12","I find that my partner(s) don't want to get as close as I would like.","100","1","1"
"attachment","13","Sometimes romantic partners change their feelings about me for no apparent reason.","100","100","37"
"attachment","14","My desire to be very close sometimes scares people away.","100","1","1"
"attachment","15","I'm afraid that once a romantic partner gets to know me, they won't like who I really am.","100","0","0"
"attachment","16","It makes me mad that I don't get the affection and support I need from my partner.","100","0","0"
"attachment","17","I worry that I won't measure up to other people.","100","0","0"
"attachment","18","My partner only seems to notice me when I'm angry.","100","33","32"
"attachment","19","I prefer not to show a partner how I feel deep down.","100","4","4"
"attachment","20","I feel comfortable sharing my private thoughts and feelings with my partner.","100","4","4"
"attachment","21","I find it difficult to allow myself to depend on romantic partners.","100","0","0"
"attachment","22","I am very comfortable being close to romantic partners.","100","0","0"
"attachment","23","I don't feel comfortable opening up to romantic partners.","100","0","0"
"attachment","24","I prefer not to be too close to romantic partners.","100","0","0"
"attachment","25","I get uncomfortable when a romantic partner wants to be very close.","100","0","0"
"attachment","26","I find it relatively easy to get close to my partner.","100","0","0"
"attachment","27","It's not difficult for me to get close to my partner.","100","0","0"
"attachment","28","I usually discuss my problems and concerns with my partner.","100","0","0"
"attachment","29","It helps to turn to my romantic partner in times of need.","100","0","0"
"attachment","30","I tell my partner just about everything.","100","2","0"
"attachment","31","I talk things over with my partner.","100","0","0"
"attachment","32","I am nervous when partners get too close to me.","100","0","0"
"attachment","33","I feel comfortable depending on romantic partners.","100","0","0"
"attachment","34","I find it easy to depend on romantic partners.","100","0","0"
"attachment","35","It's easy for me to be affectionate with my partner.","100","0","0"
"attachment","36","My partner really understands me and my needs.","100","100","5"
